iter	Logloss
0	0.6652220202
1	0.6402739938
2	0.6186054482
3	0.599265408
4	0.5839213256
5	0.5686384132
6	0.5555174524
7	0.5441087054
8	0.533276497
9	0.523871838
10	0.5155590482
11	0.5085244343
12	0.5026129161
13	0.4971994595
14	0.4920232184
15	0.4874161644
16	0.4834390925
17	0.4797021228
18	0.4764145696
19	0.4735031024
20	0.4707572507
21	0.4684198241
22	0.4662790487
23	0.4644043957
24	0.4626081363
25	0.4612745472
26	0.4596269703
27	0.4584861004
28	0.4570518877
29	0.4559548504
30	0.4547645348
31	0.4539034014
32	0.4528733912
33	0.452097741
34	0.4513036771
35	0.4504644042
36	0.4497042909
37	0.4491771623
38	0.4486361279
39	0.4481587044
40	0.447674766
41	0.4470619707
42	0.4464490946
43	0.4460326248
44	0.4456990145
45	0.4453103101
46	0.4449308617
47	0.4445234242
48	0.4441803421
49	0.4438875954
50	0.4436098269
51	0.4432178674
52	0.4429040437
53	0.4426846234
54	0.4424271705
55	0.4421248567
56	0.4419362329
57	0.4417494862
58	0.4415471346
59	0.4413175634
60	0.4411216563
61	0.4409607654
62	0.4407078356
63	0.4404410642
64	0.4402535725
65	0.4400784849
66	0.4399322344
67	0.4397280794
68	0.4395817973
69	0.4394199859
70	0.4392443956
71	0.439098015
72	0.4388906777
73	0.4387375732
74	0.4386129899
75	0.4384407616
76	0.4382761715
77	0.4381559037
78	0.4380027364
79	0.437904692
80	0.4378155699
81	0.4376982923
82	0.4375843209
83	0.4374977192
84	0.437346062
85	0.4372641887
86	0.4371703509
87	0.4370975751
88	0.4369827421
89	0.436900668
90	0.4367465254
91	0.436625424
92	0.4365394761
93	0.4364386503
94	0.4363455667
95	0.4362519099
96	0.436166251
97	0.4360764737
98	0.4359526323
99	0.4358950933
100	0.4358031723
101	0.4357063591
102	0.4356201804
103	0.4355607661
104	0.435481609
105	0.4353945141
106	0.4353243491
107	0.4352231571
108	0.4351558374
109	0.4350970909
110	0.4350408545
111	0.4349853531
112	0.43490605
113	0.4348521367
114	0.4348015759
115	0.4347492363
116	0.4346273598
117	0.434563482
118	0.4344929399
119	0.434441266
120	0.4343783306
121	0.4342660127
122	0.4341934859
123	0.4341224264
124	0.4340823712
125	0.4340277325
126	0.4339636151
127	0.4338706481
128	0.4337900697
129	0.4337075138
130	0.4336635397
131	0.4336050581
132	0.433526653
133	0.433451442
134	0.4333941828
135	0.433352989
136	0.4332582687
137	0.433221988
138	0.4331731989
139	0.4331268092
140	0.4330722125
141	0.4330291647
142	0.432990952
143	0.4329501788
144	0.4328601069
145	0.4327984652
146	0.4327173746
147	0.4326712927
148	0.4326075567
149	0.4325549254
150	0.4324663059
151	0.4324303246
152	0.432398063
153	0.4323464015
154	0.4322801004
155	0.432235693
156	0.4321801552
157	0.4321384869
158	0.4320904356
159	0.4320198991
160	0.4319727876
161	0.4319317343
162	0.4318998414
163	0.4318670472
164	0.431755541
165	0.4317249728
166	0.4316743097
167	0.4316283925
168	0.431594646
169	0.4315423279
170	0.4314467868
171	0.431358143
172	0.4313149272
173	0.431271757
174	0.4312296506
175	0.4311711734
176	0.4311439497
177	0.4310894088
178	0.4310498499
179	0.4309755027
180	0.4309291493
181	0.4309024563
182	0.430852095
183	0.4307796882
184	0.4307385115
185	0.4306967197
186	0.430659902
187	0.4306083423
188	0.4305725032
189	0.4305413481
190	0.4305143589
191	0.4304658789
192	0.4304250506
193	0.4303843611
194	0.4303475396
195	0.4303268279
196	0.4302976426
197	0.4302743621
198	0.4302476772
199	0.4302227247
200	0.430198544
201	0.4301482266
202	0.4301204909
203	0.4301024843
204	0.4300610752
205	0.430030734
206	0.4300101181
207	0.429973047
208	0.4299314262
209	0.4298761364
210	0.4298472977
211	0.4298158747
212	0.4297479375
213	0.4297065842
214	0.4296793235
215	0.4296142592
216	0.429581893
217	0.429559013
218	0.4295325387
219	0.4295125514
220	0.4294823434
221	0.4294449131
222	0.4294170616
223	0.4293793563
224	0.4293477952
225	0.4293205576
226	0.4292945155
227	0.429224617
228	0.4291910578
229	0.4291736226
230	0.4291454429
231	0.4291092542
232	0.4290753174
233	0.4290501809
234	0.4290119812
235	0.4289976964
236	0.4289736702
237	0.4289151981
238	0.4288638052
239	0.4288301608
240	0.4288042116
241	0.4287752358
242	0.4287158647
243	0.4286966437
244	0.428674186
245	0.4286443032
246	0.4286123615
247	0.4285673983
248	0.4285479182
249	0.4285284974
250	0.4285073371
251	0.4284768456
252	0.4284474712
253	0.4284284324
254	0.4284114348
255	0.4283839896
256	0.4283138342
257	0.42828458
258	0.4282589736
259	0.4282373183
260	0.4282173873
261	0.4281786664
262	0.4281563351
263	0.4281269905
264	0.4280586486
265	0.4280197677
266	0.4279603306
267	0.427910455
268	0.4278881634
269	0.4278705268
270	0.427851592
271	0.4278180363
272	0.4277999769
273	0.4277743079
274	0.4277447331
275	0.4277091519
276	0.4276821966
277	0.4276634483
278	0.4276308343
279	0.4275570546
280	0.4275400101
281	0.4275131521
282	0.4274829929
283	0.4274515316
284	0.4274321584
285	0.4274030061
286	0.4273694631
287	0.4273337513
288	0.4273084037
289	0.4272759416
290	0.4272449985
291	0.4272174013
292	0.4271931199
293	0.4271496001
294	0.4271246282
295	0.4270990097
296	0.4270748637
297	0.4270595319
298	0.4270391444
299	0.4270102892
300	0.4269721524
301	0.4269514598
302	0.4269201872
303	0.4268959303
304	0.4268750818
305	0.4268518129
306	0.4268229109
307	0.4268015641
308	0.4267766896
309	0.4267522704
310	0.426735273
311	0.4267120336
312	0.4266756594
313	0.4266552074
314	0.4266383846
315	0.4266173224
316	0.4265899144
317	0.4265727031
318	0.4265413854
319	0.4265154378
320	0.4264999285
321	0.4264775962
322	0.4264373675
323	0.4263650181
324	0.4263412423
325	0.4263186103
326	0.4262947213
327	0.4262695292
328	0.4262061153
329	0.4261801634
330	0.4261604857
331	0.426131692
332	0.4261032961
333	0.4260889105
334	0.4260719398
335	0.4260438743
336	0.4260251216
337	0.4260085043
338	0.4259926342
339	0.4259715591
340	0.4259435113
341	0.4259267869
342	0.4259006806
343	0.4258727426
344	0.4258518681
345	0.4258123723
346	0.4257948874
347	0.4257729281
348	0.4257379541
349	0.4257202083
350	0.4256909952
351	0.4256652332
352	0.4256471679
353	0.4256234505
354	0.4255951368
355	0.425570369
356	0.4255510828
357	0.4255267499
358	0.4255036573
359	0.4254791561
360	0.4254554674
361	0.4254283112
362	0.4254091069
363	0.4253893929
364	0.4253648025
365	0.4253471116
366	0.4252882058
367	0.4252579762
368	0.4252193517
369	0.4252057697
370	0.4251732987
371	0.4251458388
372	0.4251260388
373	0.4251124514
374	0.4250932813
375	0.4250786597
376	0.4250473953
377	0.4250283777
378	0.4250042549
379	0.4249880831
380	0.4249697822
381	0.4249510418
382	0.4249333142
383	0.4249082741
384	0.4248916814
385	0.4248755979
386	0.4248547208
387	0.4248368656
388	0.4248161982
389	0.4247953663
390	0.4247809485
391	0.4247540708
392	0.4247398248
393	0.4247215178
394	0.4247008482
395	0.4246808131
396	0.4246590061
397	0.4246368431
398	0.4246150941
399	0.4245935501
400	0.424573489
401	0.4245508366
402	0.4245325378
403	0.4245193758
404	0.4244982872
405	0.4244745571
406	0.4244463273
407	0.42443444
408	0.4244196684
409	0.4243959982
410	0.424379647
411	0.4243566368
412	0.4243367952
413	0.4243127964
414	0.4242902765
415	0.4242602357
416	0.4242427365
417	0.4242183838
418	0.4241807409
419	0.4241660347
420	0.4241450086
421	0.4241281672
422	0.4241081311
423	0.4240684127
424	0.4240532229
425	0.4240369666
426	0.4240225296
427	0.4239989581
428	0.423976902
429	0.4239614312
430	0.4239474719
431	0.4239306527
432	0.4239043818
433	0.4238878771
434	0.4238665143
435	0.4238565464
436	0.423839057
437	0.4238223208
438	0.4237757773
439	0.4237590854
440	0.4237342035
441	0.4237200024
442	0.4237079125
443	0.4236804774
444	0.4236638461
445	0.4236493894
446	0.4236360345
447	0.4236261156
448	0.4235985606
449	0.4235837669
450	0.4235667651
451	0.4235431698
452	0.4235256525
453	0.4235061712
454	0.4234905302
455	0.4234655513
456	0.423446723
457	0.4234204998
458	0.4234020527
459	0.4233856499
460	0.4233737803
461	0.4233602004
462	0.4233413377
463	0.423328629
464	0.4232999737
465	0.4232792021
466	0.42326129
467	0.4232470157
468	0.4232156965
469	0.4232013974
470	0.4231813531
471	0.4231651671
472	0.4231479968
473	0.4231260792
474	0.4231039628
475	0.423086221
476	0.4230685087
477	0.4230519892
478	0.4230351889
479	0.4230169861
480	0.4230011889
481	0.4229852088
482	0.4229701366
483	0.4229399274
484	0.4229175713
485	0.4228967935
486	0.4228870389
487	0.4228693999
488	0.4228570708
489	0.4228399301
490	0.4228313627
491	0.4228147304
492	0.422793884
493	0.422777248
494	0.4227650052
495	0.4227497077
496	0.4227316045
497	0.4227036457
498	0.4226891126
499	0.4226772766
500	0.4226560096
501	0.422646802
502	0.4226310637
503	0.4226184147
504	0.4226070275
505	0.4225911899
506	0.422537789
507	0.4225238961
508	0.4225081806
509	0.4224948903
510	0.4224789546
511	0.4224613801
512	0.4224444698
513	0.4224331886
514	0.4224178925
515	0.4224028542
516	0.4223891304
517	0.4223755432
518	0.4223628319
519	0.4223510102
520	0.422335355
521	0.4223209838
522	0.4223072851
523	0.4222814702
524	0.4222613836
525	0.4222480528
526	0.4222249231
527	0.4222084
528	0.4221907661
529	0.422177305
530	0.4221629337
531	0.4221441591
532	0.4221276312
533	0.4221135969
534	0.4220967502
535	0.4220825313
536	0.422066164
537	0.4220546744
538	0.4220432172
539	0.4220268034
540	0.4220131155
541	0.4219859782
542	0.4219666124
543	0.4219520885
544	0.4219363204
545	0.4219252458
546	0.4219083121
547	0.4219000544
548	0.4218769043
549	0.4218622219
550	0.4218512832
551	0.4218379002
552	0.4218199682
553	0.4218043899
554	0.4217923676
555	0.4217788396
556	0.4217676745
557	0.4217466119
558	0.421729432
559	0.4217149098
560	0.4216960542
561	0.4216872511
562	0.421668875
563	0.421657719
564	0.4216436046
565	0.4216279966
566	0.4216109039
567	0.4215991514
568	0.4215845268
569	0.4215745557
570	0.4215515503
571	0.4215410646
572	0.4215282581
573	0.4215157214
574	0.4215045464
575	0.4214878871
576	0.4214760832
577	0.4214632199
578	0.4214425474
579	0.4214288385
580	0.4214119125
581	0.4214045412
582	0.4213940833
583	0.4213806638
584	0.4213638513
585	0.4213516323
586	0.4213364965
587	0.4213229151
588	0.4213092115
589	0.4213018903
590	0.4212839921
591	0.4212708152
592	0.4212390065
593	0.421230084
594	0.4212170469
595	0.4212045304
596	0.4211908416
597	0.4211743513
598	0.4211626129
599	0.4211492753
600	0.4211358017
601	0.4211198986
602	0.4211054929
603	0.4210887927
604	0.4210691171
605	0.4210573496
606	0.4210452706
607	0.4210378493
608	0.4210261851
609	0.4209930987
610	0.42097767
611	0.4209660499
612	0.4209497138
613	0.4209386896
614	0.420928096
615	0.4209157419
616	0.4209005362
617	0.4208908646
618	0.420872738
619	0.4208625835
620	0.4208468791
621	0.4208396682
622	0.4208304899
623	0.4208202195
624	0.4208103245
625	0.4208013357
626	0.4207867716
627	0.4207715571
628	0.420731505
629	0.4207160311
630	0.4207037158
631	0.4206915033
632	0.4206794771
633	0.4206667861
634	0.4206525668
635	0.420640762
636	0.4206284427
637	0.4206191516
638	0.4206062868
639	0.4205932878
640	0.4205642608
641	0.4205550815
642	0.4205449163
643	0.4205224223
644	0.4205131912
645	0.4204991377
646	0.4204812395
647	0.4204692539
648	0.4204550296
649	0.420445069
650	0.4204292123
651	0.4204177344
652	0.4204073118
653	0.4203982401
654	0.4203817273
655	0.4203687634
656	0.4203563611
657	0.4203435419
658	0.4203321609
659	0.4203222722
660	0.4203124744
661	0.4202995746
662	0.4202839999
663	0.420273384
664	0.4202563643
665	0.4202456622
666	0.4202304061
667	0.4202178508
668	0.4202075813
669	0.4201913168
670	0.4201822157
671	0.4201689835
672	0.4201522276
673	0.4201411347
674	0.420130421
675	0.4201196385
676	0.4201130085
677	0.4201016467
678	0.4200892773
679	0.4200815095
680	0.4200734957
681	0.4200629142
682	0.4200515328
683	0.420037153
684	0.4200268495
685	0.4200146243
686	0.4200024238
687	0.419992272
688	0.4199814721
689	0.4199565899
690	0.4199434143
691	0.4199321115
692	0.4199173648
693	0.4199070225
694	0.41989433
695	0.4198771972
696	0.4198647501
697	0.4198480876
698	0.4198375603
699	0.4198257856
700	0.4198190942
701	0.4198077958
702	0.4197986999
703	0.4197867753
704	0.4197766255
705	0.4197652193
706	0.4197570247
707	0.4197373624
708	0.4197304041
709	0.4197162448
710	0.4197101187
711	0.4196984603
712	0.4196864505
713	0.4196756029
714	0.4196634866
715	0.4196473755
716	0.4196336084
717	0.4196206604
718	0.4196019637
719	0.4195849497
720	0.4195755743
721	0.4195600446
722	0.4195491762
723	0.4195367876
724	0.4195245797
725	0.4195186983
726	0.4195090978
727	0.4194928333
728	0.4194838659
729	0.4194749579
730	0.4194674427
731	0.4194565701
732	0.419446056
733	0.4194325041
734	0.4194071439
735	0.4193958552
736	0.4193799718
737	0.4193658026
738	0.4193547484
739	0.4193400746
740	0.4193306286
741	0.4193217738
742	0.4193099542
743	0.4192994651
744	0.4192910746
745	0.4192790506
746	0.4192538999
747	0.4192471563
748	0.4192366785
749	0.4192286597
750	0.4192124999
751	0.4192012078
752	0.4191920913
753	0.419180628
